City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Porto Novo,BJ,86.47,Light Rain,6.4965,2.6036,Tour Eiffel Hotel Benin
237,Lorengau,PG,80.91,Broken Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Mpulungu,ZM,77.38,Light Rain,-8.7623,31.1141,Chela Moche Guest House
252,Razole,IN,81.57,Broken Clouds,16.4833,81.8333,Sterling Palavelli Godavari
255,Saint-Joseph,RE,77.38,Few Clouds,-21.3667,55.6167,"""Plantation Bed And Breakfast"
262,Cayenne,GF,86.04,Broken Clouds,4.9333,-52.3333,Hôtel Le Dronmi
263,Banda Aceh,ID,81.12,Overcast Clouds,5.5577,95.3222,Oyo 884 Rumoh Pmi Hotel
266,Awjilah,LY,79.59,Clear Sky,29.1081,21.2869,المنزل
275,Irece,BR,83.73,Overcast Clouds,-11.3042,-41.8558,Hotel Copa 70
276,Jalu,LY,81.0,Clear Sky,29.0331,21.5482,صاحبة الفخامة
280,Kupang,ID,79.52,Scattered Clouds,-10.1667,123.5833,Hotel On The Rock By Prasanthi
285,Sao Joao Da Barra,BR,87.89,Clear Sky,-21.6403,-41.0511,Pousada Porto De Canoas
286,San Policarpo,PH,80.53,Overcast Clouds,12.1791,125.5072,Agapita M. Nicart
287,Pasighat,IN,75.76,Overcast Clouds,28.0667,95.3333,Siang Guest House
289,Jatai,BR,83.34,Clear Sky,-17.8814,-51.7144,Hotel Califórnia
302,Ternate,ID,82.45,Scattered Clouds,0.8,127.4,Sahid Bela Ternate Hotel
308,Itupiranga,BR,88.12,Overcast Clouds,-5.1347,-49.3267,Hotel Panorama
314,Samarai,PG,81.54,Scattered Clouds,-10.6167,150.6667,Nuli Sapi
322,Puyo,EC,76.53,Overcast Clouds,-1.4667,-77.9833,Hosteria Kindi Wasi
323,Saint-Philippe,RE,78.39,Few Clouds,-21.3585,55.7679,"Chambres D'Hôte ""La Trinité"""
325,Labuhan,ID,81.18,Overcast Clouds,-6.8844,112.2051,Doublefag
328,Tecoanapa,MX,82.08,Overcast Clouds,16.5167,-98.75,Hotel Manglares
329,Bonthe,SL,85.86,Light Rain,7.5264,-12.505,Bonthe Holiday Village
334,Mwense,ZM,75.78,Overcast Clouds,-10.3845,28.698,Mwense Council Guest House
338,Porbandar,IN,85.89,Clear Sky,21.6422,69.6093,Lords Inn Porbandar
339,Dingle,PH,77.88,Overcast Clouds,10.9995,122.6711,Segaya Property
343,Sawakin,SD,88.41,Clear Sky,19.1059,37.3321,فندق الدويم
345,Mogadishu,SO,87.67,Few Clouds,2.0371,45.3438,Hotel Juba
347,Piacabucu,BR,80.91,Broken Clouds,-10.4056,-36.4344,Piaçabuçu News
353,Gat,IL,81.39,Overcast Clouds,31.61,34.7642,Olushome
355,Davila,PH,81.3,Overcast Clouds,18.4726,120.5763,Blue Ridge Beach Resort
356,Ban Tak,TH,78.66,Overcast Clouds,17.0432,99.0813,Bansuansiriwat
357,La Asuncion,VE,82.13,Broken Clouds,11.0333,-63.8628,Colinas De Matasiete
359,Sao Felix Do Xingu,BR,86.68,Overcast Clouds,-6.6447,-51.995,Rio Xingu Camping
360,Pedernales,DO,81.64,Overcast Clouds,18.0384,-71.744,Hotel Costa Marina
361,San Nicolas,PH,81.52,Overcast Clouds,18.1725,120.5953,Northview Hotel
362,Port Blair,IN,84.83,Overcast Clouds,11.6667,92.75,"Welcomhotel By Itc Hotels, Bay Island, Port Blair"
363,Hobyo,SO,87.62,Overcast Clouds,5.3505,48.5268,Iftin Hotel Hobyo
366,Sola,VU,79.63,Overcast Clouds,-13.8833,167.55,Leumerus Bungalows
370,Corn Island,NI,81.72,Broken Clouds,12.1694,-83.0418,Big Fish Guest House
371,Bambanglipuro,ID,79.79,Light Rain,-7.95,110.2833,Puri Brata
373,Ndjole,GA,84.69,Moderate Rain,-0.1783,10.7649,Motel Kédyann
379,Pemangkat,ID,80.49,Overcast Clouds,1.1667,108.9667,Ramah Kost Kita
380,Niquero,CU,80.56,Clear Sky,20.0431,-77.5828,Islazul Niquero
388,Sao Jose Da Coroa Grande,BR,82.71,Scattered Clouds,-8.8978,-35.1478,Crôa Mares Hotel
391,Robertsport,LR,84.94,Light Rain,6.7533,-11.3686,Kwepunha Retreat
395,Tsiroanomandidy,MG,75.83,Few Clouds,-18.7667,46.0333,Hotel Ravinala
405,Cacule,BR,85.64,Scattered Clouds,-14.5033,-42.2222,Radar Palace Hotel
413,Bandarbeyla,SO,86.0,Overcast Clouds,9.4942,50.8122,Jabir Hotel
418,The Valley,AI,84.06,Few Clouds,18.217,-63.0578,Ceblue Villas & Beach Resort
419,Vanimo,PG,79.11,Scattered Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
423,Port-Gentil,GA,85.96,Scattered Clouds,-0.7193,8.7815,Fengshui Residence
424,Aborlan,PH,80.2,Overcast Clouds,9.4352,118.5492,Kevina Transient House
427,Ondjiva,AO,83.43,Broken Clouds,-17.0667,15.7333,Combuesa
434,Souillac,MU,79.18,Scattered Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
435,Bosaso,SO,86.63,Clear Sky,11.2842,49.1816,Red Sea Hotel
