City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,Albany,US,42.6001,-73.9662,54.39,85,92,4,Overcast Clouds
76,Choszczno,PL,53.169,15.4205,66.24,52,63,10.42,Broken Clouds
77,Hithadhoo,MV,-0.6,73.0833,85.46,75,100,17.94,Overcast Clouds
78,Dikson,RU,73.5069,80.5464,14.72,91,100,13.6,Overcast Clouds
79,Chokurdakh,RU,70.6333,147.9167,2.19,100,80,3.27,Broken Clouds
80,Isangel,VU,-19.55,169.2667,78.4,87,71,10.02,Broken Clouds
81,Nur,PL,52.6683,22.3221,59.74,54,86,9.08,Overcast Clouds
82,Leningradskiy,RU,69.3833,178.4167,4.69,92,100,2.62,Overcast Clouds
83,Lata,PT,40.1629,-8.3327,68.07,42,0,13.04,Clear Sky
84,Verkhnyaya Sysert,RU,56.4372,60.75,48,55,100,9.06,Overcast Clouds
85,Port Alfred,ZA,-33.5906,26.891,71.19,75,49,8.01,Scattered Clouds
86,Tilichiki,RU,60.4667,166.1,11.32,97,44,5.93,Scattered Clouds
87,Vernon,CA,50.2581,-119.2691,54.3,63,100,1.43,Overcast Clouds
88,Tucurui,BR,-3.7661,-49.6725,86.13,68,92,1.34,Overcast Clouds
89,Cubuk,TR,40.2386,33.0322,64.31,42,75,8.05,Broken Clouds
90,Toamasina,MG,-18.1667,49.3833,75.67,88,13,9.8,Light Rain
91,Yerbogachen,RU,61.2767,108.0108,28.72,70,100,8.1,Overcast Clouds
92,Koundara,GN,12.4833,-13.3,106.92,13,9,4.74,Clear Sky
93,Lucapa,AO,-8.4192,20.7447,76.57,70,65,4.88,Light Rain
94,Lodja,CD,-3.4833,23.4333,80.15,72,100,1.66,Overcast Clouds
95,Karratha,AU,-20.7377,116.8463,82.56,59,15,7.92,Few Clouds
96,Faanui,PF,-16.4833,-151.75,80.76,74,100,8.41,Overcast Clouds
97,Olga,RU,43.7444,135.2892,37.15,95,84,3.53,Broken Clouds
98,New Norfolk,AU,-42.7826,147.0587,60.93,73,100,1.01,Overcast Clouds
99,Hovd,MN,48.0056,91.6419,64.72,17,100,10.78,Overcast Clouds
100,Kalmunai,LK,7.4167,81.8167,83.68,77,60,6.17,Broken Clouds
101,Waingapu,ID,-9.6567,120.2641,79.25,83,78,8.08,Broken Clouds
102,Ilorin,NG,8.5,4.55,99.1,32,92,6.82,Overcast Clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,33.03,95,100,6.29,Overcast Clouds
104,Pangnirtung,CA,66.1451,-65.7125,24.17,87,100,4.29,Overcast Clouds
105,Yulara,AU,-25.2406,130.9889,64.06,43,92,5.1,Overcast Clouds
106,Stokmarknes,NO,68.5646,14.9108,37.36,80,75,10.36,Broken Clouds
107,Huilong,CN,31.8111,121.655,59.85,69,9,2.13,Clear Sky
108,Namibe,AO,-15.1961,12.1522,78.93,65,3,12.75,Clear Sky
109,Taoudenni,ML,22.6783,-3.9836,95.11,10,0,10.11,Clear Sky
110,Margate,GB,51.3813,1.3862,57.87,72,40,8.08,Scattered Clouds
111,Constitucion,CL,-35.3333,-72.4167,55.81,67,0,7.54,Clear Sky
112,Port Lincoln,AU,-34.7333,135.8667,59.47,78,3,7.49,Clear Sky
113,Kirensk,RU,57.7853,108.1119,32.58,72,100,12.33,Overcast Clouds
114,Ahipara,NZ,-35.1667,173.1667,57.96,87,100,6.06,Overcast Clouds
115,Severo-Kurilsk,RU,50.6789,156.125,34.21,86,100,3.42,Overcast Clouds
116,Kloulklubed,PW,7.0419,134.2556,79.3,81,100,13.53,Overcast Clouds
117,San Patricio,US,28.017,-97.5169,81.07,74,36,22.3,Scattered Clouds
118,Korla,CN,41.7597,86.1469,73.31,15,100,11.45,Overcast Clouds
119,Cabra,ES,37.4725,-4.4421,67.06,41,0,17,Clear Sky
120,Murgab,TM,37.4966,61.9714,80.47,36,0,11.5,Clear Sky
121,Tukrah,LY,32.5341,20.5791,67.1,81,20,22.19,Few Clouds
122,New Baltimore,US,42.6811,-82.7369,53.74,82,100,10.36,Overcast Clouds
123,Longyearbyen,SJ,78.2186,15.6401,12.04,57,40,4.61,Scattered Clouds
124,La Rochelle,FR,46.1667,-1.15,69.87,40,0,11.5,Clear Sky
125,Bonavista,CA,48.6499,-53.1147,37.63,96,100,10.27,Overcast Clouds
126,Yumen,CN,40.2833,97.2,60.33,8,2,4.45,Clear Sky
127,Komsomolskiy,UZ,40.4272,71.7189,83.12,30,100,18.41,Overcast Clouds
128,Rudbar,AF,30.15,62.6,94.59,12,2,5.7,Clear Sky
129,Airai,TL,-8.9266,125.4092,60.04,82,36,3,Scattered Clouds
130,Inhambane,MZ,-23.865,35.3833,78.78,65,40,4.61,Scattered Clouds
131,Cherskiy,RU,68.75,161.3,26.85,95,100,4.25,Overcast Clouds
132,Alyangula,AU,-13.8483,136.4192,80.47,73,5,10.85,Clear Sky
133,Caravelas,BR,-17.7125,-39.2481,84.04,58,66,6.11,Broken Clouds
134,Pacific Grove,US,36.6177,-121.9166,51.91,85,75,15.99,Broken Clouds
135,Kota Belud,MY,6.351,116.4305,78.73,81,96,4.23,Overcast Clouds
136,Mount Gambier,AU,-37.8333,140.7667,53.33,83,39,6.02,Scattered Clouds
137,Lompoc,US,34.6391,-120.4579,51.01,86,100,13,Fog
138,Aguining,PH,10.0861,124.5944,81.32,80,99,7.85,Overcast Clouds
139,Shingu,JP,33.7333,135.9833,51.13,76,32,6.08,Scattered Clouds
140,Vrangel,RU,42.7297,133.0839,43.34,82,69,8.77,Broken Clouds
141,Oranjemund,NA,-28.55,16.4333,84.13,24,0,5.7,Clear Sky
142,Hasaki,JP,35.7333,140.8333,54,64,100,4.79,Overcast Clouds
143,Timberlake,US,37.3207,-79.2575,73.89,64,0,4.61,Clear Sky
144,Upernavik,GL,72.7868,-56.1549,10,74,40,2.84,Scattered Clouds
145,Bredasdorp,ZA,-34.5322,20.0403,74.28,48,40,8.63,Scattered Clouds
146,La Merced,CO,5.4019,-75.8847,65.23,80,36,0.4,Scattered Clouds
147,Ostrovnoy,RU,68.0531,39.5131,34.02,89,100,13.87,Overcast Clouds
148,Flin Flon,CA,54.7682,-101.865,27.1,82,100,6.87,Overcast Clouds
149,Acapulco,MX,16.8634,-99.8901,75.02,64,40,0,Scattered Clouds
150,Barrow,US,71.2906,-156.7887,15.82,86,100,9.22,Overcast Clouds
151,Nikolskoye,RU,59.7035,30.7861,56.88,44,100,8.25,Overcast Clouds
152,Sarangani,PH,5.4033,125.4636,82.29,75,100,1.23,Overcast Clouds
153,Yantai,CN,37.5333,121.4,52.61,44,0,9.28,Clear Sky
154,Bay Roberts,CA,47.5999,-53.2648,45.66,86,100,3,Overcast Clouds
155,Tasiilaq,GL,65.6145,-37.6368,33.96,65,100,3.74,Overcast Clouds
156,Kaeo,NZ,-35.1,173.7833,58.66,86,99,4.88,Overcast Clouds
157,Nara,JP,34.6851,135.8049,55.49,48,64,4.61,Broken Clouds
158,Howard Springs,AU,-12.497,131.047,76.91,62,100,1.5,Overcast Clouds
159,Butaritari,KI,3.0707,172.7902,81.23,79,93,12.75,Light Rain
160,Saint George,US,37.1041,-113.5841,57.79,44,0,6.91,Clear Sky
161,Asau,RO,46.4333,26.4,65.32,37,28,7.92,Scattered Clouds
162,Tutoia,BR,-2.7619,-42.2744,86.23,64,94,5.84,Overcast Clouds
163,Leeton,AU,-34.5667,146.4,55.36,67,0,3.09,Clear Sky
164,Phuket,TH,8,98.25,79.02,94,20,2.3,Light Rain
165,Oyama,JP,36.3,139.8,57.58,83,100,10.71,Overcast Clouds
166,Bilibino,RU,68.0546,166.4372,5.94,93,51,3.02,Broken Clouds
167,Padang,ID,-0.9492,100.3543,78.85,84,100,2.95,Overcast Clouds
168,Casma,CL,-41.0082,-73.1244,49.24,94,98,0.25,Overcast Clouds
169,Jacareacanga,BR,-6.2222,-57.7528,80.53,90,60,0.69,Broken Clouds
170,Luena,AO,-11.7833,19.9167,76.57,33,5,7.2,Clear Sky
171,Bambous Virieux,MU,-20.3428,57.7575,79.21,80,2,10.07,Clear Sky
172,Torbay,CA,47.6666,-52.7314,44.89,95,100,9.22,Light Intensity Drizzle
173,Lumut,MY,4.2323,100.6298,79.47,85,100,6.24,Overcast Clouds
174,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.13,73,75,16.11,Broken Clouds
175,Belaya Gora,RU,68.5333,146.4167,30.69,88,100,5.82,Overcast Clouds
176,Lieksa,FI,63.3167,30.0167,41.25,81,100,17.69,Light Rain
177,Lavrentiya,RU,65.5833,-171,3.38,92,35,7.74,Scattered Clouds
178,Kodinsk,RU,58.6881,99.1844,37.04,94,100,10.29,Light Rain
179,Ixtapa,MX,20.7,-105.2,72.23,83,0,4.61,Clear Sky
180,Quatre Cocos,MU,-20.2078,57.7625,79.09,80,3,10.29,Clear Sky
181,Beringovskiy,RU,63.05,179.3167,3.76,89,17,6.06,Few Clouds
182,Alta Floresta,BR,-9.8756,-56.0861,78.96,74,58,3.89,Broken Clouds
183,Teknaf,BD,20.8624,92.3058,80.83,79,0,1.9,Clear Sky
184,Nyrob,RU,60.733,56.7202,36.66,71,94,6.53,Overcast Clouds
185,Itarema,BR,-2.9248,-39.9167,85.53,68,17,12.17,Few Clouds
186,Hirara,JP,24.8,125.2833,69.1,79,100,23.87,Light Rain
187,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,29,0,9.22,Clear Sky
188,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,0,2.24,Clear Sky
189,Vysotsk,RU,60.6288,28.5705,44.13,65,100,16.33,Overcast Clouds
190,Boende,CD,-0.2167,20.8667,92.75,37,44,2.91,Scattered Clouds
191,Richards Bay,ZA,-28.783,32.0377,70.93,71,4,6.89,Clear Sky
192,Leh,IN,34.1667,77.5833,54.16,21,4,5.77,Clear Sky
193,Harper,LR,4.375,-7.7169,85.53,70,35,7.4,Light Rain
194,Gravelbourg,CA,49.8834,-106.5512,39.47,69,100,12.17,Overcast Clouds
195,Aklavik,CA,68.2191,-135.0107,26.89,97,100,3.02,Overcast Clouds
196,Provideniya,RU,64.3833,-173.3,19.06,55,8,5.61,Clear Sky
197,Tarakan,ID,3.3,117.6333,83.21,73,100,5.95,Overcast Clouds
198,Hamilton,US,39.1834,-84.5333,62.67,61,0,8.05,Clear Sky
199,Dillon,US,34.4166,-79.3712,77.04,78,100,9.75,Overcast Clouds
200,Katsuura,JP,35.1333,140.3,60.31,66,97,21.21,Overcast Clouds
201,Ancud,CL,-41.8697,-73.8203,49.23,81,11,1.61,Few Clouds
202,Baykit,RU,61.67,96.37,31.23,95,100,14.58,Snow
203,Kualakapuas,ID,-3.0091,114.3876,77.36,92,100,3.51,Light Rain
204,Kalino,RU,58.2504,57.6085,43.32,64,100,7.58,Light Rain
205,Vostok,RU,46.4856,135.8833,32.41,89,69,3.8,Broken Clouds
206,Whitianga,NZ,-36.8333,175.7,57.4,84,96,3.56,Overcast Clouds
207,Deputatskiy,RU,69.3,139.9,21.42,97,100,4.09,Light Snow
208,Esperance,AU,-33.8667,121.9,62.71,75,100,16.67,Overcast Clouds
209,Champerico,GT,14.3,-91.9167,82.94,75,100,5.17,Overcast Clouds
210,Saint-Gaudens,FR,43.0833,0.6667,60.03,76,100,2.8,Overcast Clouds
211,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,21.85,Scattered Clouds
212,Talnakh,RU,69.4865,88.3972,20.3,96,100,1.5,Overcast Clouds
213,Bengkulu,ID,-3.8004,102.2655,78.26,88,100,3,Moderate Rain
